S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
16,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,Fowler Cot,25,100,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
17,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,KN95 Masks / N95 Masks,5000,20000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
18,"M/s ASHWIN SURGICALS,No:194A,Mohan Nagar,Padmavathy Nagar (Extn),Madambakkam,Chennai-126
FACTORY ADDRESS:
ASHWIN SURGICALS,
2/235,2nd floor,Anna Street,
Mudichur Main Road,
Mannivakkam,
Chennai-48ashwinsurgical19@gmail.com",S.Karumurugan9500013923,Manufacturer,PPE KITS,500,5000,"We are manufacturer of Gowns,Drapes,PPE's and all Types of Disposables Drapes which are used in OT."
19,"M/s ASHWIN SURGICALS,No:194A,Mohan Nagar,Padmavathy Nagar (Extn),Madambakkam,Chennai-126
FACTORY ADDRESS:
ASHWIN SURGICALS,
2/235,2nd floor,Anna Street,
Mudichur Main Road,
Mannivakkam,
Chennai-48ashwinsurgical19@gmail.com",S.Karumurugan9500013923,Manufacturer,3Ply Surgical Masks,100000,500000,"We are manufacturer of Gowns,Drapes,PPE's and all Types of Disposables Drapes which are used in OT."
20,"M/s CLASSIC HEALTHCARE,Plot No. 94 & 95 , Integrated Technical Textiles Park,
THANDARAI SIDCO, Chengalpattu District, 603105.classicnapkin@gmail.com",DEEPA AANANDAN9790907748,Manufacturer,3Ply Surgical Masks,1000,115200,PROPOSED NEW COMPANY
21,"M/s SREE JAYAVARMATHA GLOVES HOUSE,1/152. SINGARATHOTTOM, MOOGAMBIGAI NAGAR, VANDALUR, CHENNAI, 600048gloveshouseminnalraj@gmail.com",RAMESH.K9445230933,Manufacturer,PPE KITS,5000,25000,WE ARE MANUFACTURING AND SUPPLYING  FACE  MASK AND PPE KIT AND MEDICAL DEVICES
22,"M/s SREE JAYAVARMATHA GLOVES HOUSE,1/152. SINGARATHOTTOM, MOOGAMBIGAI NAGAR, VANDALUR, CHENNAI, 600048gloveshouseminnalraj@gmail.com",RAMESH.K9445230933,Manufacturer,KN95 Masks / N95 Masks,1000,25000,WE ARE MANUFACTURING AND SUPPLYING  FACE  MASK AND PPE KIT AND MEDICAL DEVICES
23,"M/s SREE JAYAVARMATHA GLOVES HOUSE,1/152. SINGARATHOTTOM, MOOGAMBIGAI NAGAR, VANDALUR, CHENNAI, 600048gloveshouseminnalraj@gmail.com",RAMESH.K9445230933,Manufacturer,3Ply Surgical Masks,50000,500000,WE ARE MANUFACTURING AND SUPPLYING  FACE  MASK AND PPE KIT AND MEDICAL DEVICES
24,"M/s CLASSIC HEALTHCARE,Plot No. 94 & 95 , Integrated Technical Textiles Park,
THANDARAI SIDCO, Chengalpattu District, 603105.classicnapkin@gmail.com",DEEPA AANANDAN9790907748,Manufacturer,PPE KITS,100,960,PROPOSED NEW COMPANY
25,"M/s KRISHNAPRODUCTS,107 vijayalakshmi street,kamaranager,
new perungalathur,peerkankaranai,chennai63krishnaproductsurgi@gmail.com",chitrabhavani9543730368,Manufacturer,PPE KITS,1000,1000,WE ARE THE MANUFACTURER OF PP MEDICAL APPILIANCES (P P GOWN SMS)
26,"M/s Hiravam Products,No.14, 1st Street, Kmarajapuram, Guduvancheryhiravam@gmail.com",Vinoth8939221313,Supplier,3Ply Surgical Masks,200000,1000000,
27,"M/s Aaranya Biosciences private limited,Shed 16, 17 Golden Jubilee biotech park Siruseri SIPCOT IT park inside, 4 th main road, 2nd cross street 603103info@aaranyabiosciences.com",Savithiri Shivakumar9445685025,Manufacturer,Sanitizer (Alcohol Based),1000,10000,Supplier of sanitizer and kits
28,"M/s Arulmozhi & co,Old battai street, karunkuzhi
Madurantakam talukhoneybeesnonwovens@gmail.com",Ananth9843311555,Manufacturer,3Ply Surgical Masks,200000,450000,"Please contact me in 9786399999, 9843311555 for further details"
29,"M/s Aaranya Biosciences private limited,Shed 16, 17 Golden Jubilee biotech park Siruseri SIPCOT IT park inside, 4 th main road, 2nd cross street 603103info@aaranyabiosciences.com",Savithiri Shivakumar9445685025,Manufacturer,COVID TESTING KITS,1,25,Supplier of sanitizer and kits
30,"M/s Mediclone Biotech Private Limited,No.29, biopavilion, velichai, chennaisales@mediclonebiotech.com",9791071129,Manufacturer,COVID TESTING KITS,0,200000,manufacturer of testing kits
31,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,Sanitizer (Alcohol Based),10000,5000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
32,"M/s E R B ENTERPRISES,9 III CROSS ST KRISHNA NAGAR
PAMMALerb_in@yahoo.com",EPHRAIM RAJASEKARAN BHOOPATHY SARGUNAR9840042641,Manufacturer,3Ply Surgical Masks,3000,10000,COTTON REUSABLE WASHABLE NOSE MASK
33,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,3Ply Surgical Masks,100000,25000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
34,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,Pillows,100,100,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
35,"M/s APK CHEMICALS,PLOT NO 44, MGR ROAD, NAGALKENI, CHROMEPET, CHENNAI - 600044apkchemicals@gmail.com",MURUGANANDAM9080770397,Supplier,Sanitizer (Alcohol Based),100,1000,We supply alcohol based sanitizers to individuals and establishments also.
36,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,PPE KITS,1000,5000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
37,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,Hospital Matresses,100,100,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
38,"M/s DEVRUYA PHARMACEUTICALS,3/275 BHARATHYDASAN STREETdevruya7484@gmail.com",VISWANATHAN CHIDABARAM IYER9884283520,Manufacturer,COVID TESTING KITS,1000,5000,"We are the manufactures & suppliers of covid-19 products like Gowns, masks, gloves, test & PPE Kits, shileds, Sanitizer & Dispenser, Sanirtzer tunnels, guards"
39,"M/s JAGA ENTERPRIZES,43/18, Kailasanathar koil street,  Periyanatham,  Chengalpattujagaenterprizes@gmail.com",Jagadeesh Palraj9092023255,Supplier,Sanitizer (Alcohol Based),1000,2000,Hand Sanitizer available in Bulk Quantity with reasonable Price
40,"M/s ROTOPIA INTERNATIONAL,88/100 MOUDA IBRAHIM STREET
NAGALKENI CHROMPET CHENNAIrotopiainternationals@gmail.com",M. Balasubramanian9444030742,Manufacturer,KN95 Masks / N95 Masks,10000,10000,We are manufacturing 3Ply Face Mask with High Quality and All Disposable medical items
41,"M/s VENU ENGINEERING SERVICES PRIVATE LIMITED,Plot 108, SIDCO Industrial Estate, Thandarai - 603105 info@venuengg.com",K. RAGHAVENDRAN9841028167,Manufacturer,PPE KITS,,,Proposed unit for manufacturing
42,"M/s VENU ENGINEERING SERVICES PRIVATE LIMITED,Plot 108, SIDCO Industrial Estate, Thandarai - 603105 info@venuengg.com",K. RAGHAVENDRAN9841028167,Manufacturer,KN95 Masks / N95 Masks,,,Proposed unit for manufacturing
43,"M/s VENU ENGINEERING SERVICES PRIVATE LIMITED,Plot 108, SIDCO Industrial Estate, Thandarai - 603105 info@venuengg.com",K. RAGHAVENDRAN9841028167,Manufacturer,3Ply Surgical Masks,,,Proposed unit for manufacturing
44,"M/s VENU ENGINEERING SERVICES PRIVATE LIMITED,Plot 108, SIDCO Industrial Estate, Thandarai - 603105 info@venuengg.com",K. RAGHAVENDRAN9841028167,Manufacturer,KN95 Masks / N95 Masks,,,Proposed unit for manufacturing
45,"M/s ROTOPIA INTERNATIONAL,88/100 MOUDA IBRAHIM STREET
NAGALKENI CHROMPET CHENNAIrotopiainternationals@gmail.com",M. Balasubramanian9444030742,Manufacturer,3Ply Surgical Masks,500000,100000,We are manufacturing 3Ply Face Mask with High Quality and All Disposable medical items
46,"M/s R K HEAVY ENGINEERING PRIVATE LIMITED,KEERAPAKKAM, PULLERI PANCHAYAT, 
THIRUKALUKUNDRAM TALUK - 603 109estimation@rkheavyengineering.com",Satheesh Kumar9566261666,Manufacturer,Fowler Cot,0,50,We Would like to supply Sheet Metal parts for Fowler Cots and Stretchers with Good Quality and on time Delivery.
District Name: Chennai,,,,,,,
47,"M/s MWG EXPORTS CO,Puzhal Industrial Complex, Next to Puzhal Prisonsales@mwgexports.com",R.SARAVANAN9159370001,Manufacturer,KN95 Masks / N95 Masks,0,100000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask nd Covid-19 related medical kit
48,"M/s MWG EXPORTS CO,Puzhal Industrial Complex, Next to Puzhal Prisonsales@mwgexports.com",R.SARAVANAN9159370001,Manufacturer,3Ply Surgical Masks,500000,700000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask nd Covid-19 related medical kit
49,"M/s MWG EXPORTS CO,Puzhal Industrial Complex, Next to Puzhal Prisonsales@mwgexports.com",R.SARAVANAN9159370001,Manufacturer,KN95 Masks / N95 Masks,0,100000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask nd Covid-19 related medical kit
50,"M/s MWG EXPORTS CO,Puzhal Industrial Complex, Next to Puzhal Prisonsales@mwgexports.com",R.SARAVANAN9159370001,Manufacturer,PPE KITS,1000,10000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask nd Covid-19 related medical kit
51,"M/s HARSHVIN HEALTH CARE PRODUCT,NO.13,14&15, ELIMS NAGAR, PALANJUR , PAPPANCHATHRAM, SEMBARAMPAKKAM POST, THIRUVALLUR, CHENNAI-600123harshvinkare@gmail.com",S.VINOTHKUMAR9500081517,Manufacturer,Sanitizer (Alcohol Based),,,"Stock in Hand 200ml -1000nos, 500ml-200nos production capacity 200000 nos per week"
52,"M/s ANNAI ARAVINDH HERBALS,1,2 & 3, SEEMATHAMMAN COLONY,
MADURAVOYAL,annaiherbals.ch@gmail.com",SELVARJ  B9791058065,Manufacturer,COVID TESTING KITS,100,1000,SIDDHA MEIDICINE  MANUFACTURES
53,"M/s SRK INDUSTRIES,srkindustries2010@gmail.com",KRISHNAKUMARI9597425425,Supplier,Sanitizer (Alcohol Based),10000,10000,
54,"M/s Ultraserve Systems,S1 Sri Durghalaya Apartments
55 Thiruvalluvar Salai, Nesapakkam, Chennai 600078ultraserve@hotmail.com",Srikanth Dhanaraj9940010520,Supplier,Multipara Monitors,20,100,"we deal with other products like Ultrasound scan for COVID 19 Lung scan, Xray, DR, CR and color dopplers"
55,"M/s SRK INDUSTRIES,srkindustries2010@gmail.com",KRISHNAKUMARI9597425425,Supplier,3Ply Surgical Masks,10000,5000,
56,"M/s MORRISON LIFECARE PVT LTD,3 ANNA STREET
PADIKUPPAM
CHENNAI 600107morrisonslifecare@yahoo.co.in / email@morrisonslifecare.com",9677010126,Manufacturer,Sanitizer (Alcohol Based),5000,20000,500ml
57,"M/s SAIMIRRA INNOPHARM PRIVATE LIMITED,NO. 288 & 299 SIDCO ESTATE, AMBATTUR, CHENNAIcentraltender@saimirra.com",KRISHNAN. V9444051850,Manufacturer,Sanitizer (Alcohol Based),5000000,500000,"We are Manufacturer & Supplier of All the products.  Our Group company DELVIN FORMULATIONS PRIVATE LTD., & INVENTZ LIFE SCIENCE"
58,"M/s SAIMIRRA INNOPHARM PRIVATE LIMITED,NO. 288 & 299 SIDCO ESTATE, AMBATTUR, CHENNAIcentraltender@saimirra.com",KRISHNAN. V9444051850,Manufacturer,KN95 Masks / N95 Masks,250000,5000,"We are Manufacturer & Supplier of All the products.  Our Group company DELVIN FORMULATIONS PRIVATE LTD., & INVENTZ LIFE SCIENCE"
59,"M/s SAIMIRRA INNOPHARM PRIVATE LIMITED,NO. 288 & 299 SIDCO ESTATE, AMBATTUR, CHENNAIcentraltender@saimirra.com",KRISHNAN. V9444051850,Manufacturer,3Ply Surgical Masks,20000000,50000,"We are Manufacturer & Supplier of All the products.  Our Group company DELVIN FORMULATIONS PRIVATE LTD., & INVENTZ LIFE SCIENCE"
60,"M/s SAIMIRRA INNOPHARM PRIVATE LIMITED,NO. 288 & 299 SIDCO ESTATE, AMBATTUR, CHENNAIcentraltender@saimirra.com",KRISHNAN. V9444051850,Manufacturer,PPE KITS,500000,50000,"We are Manufacturer & Supplier of All the products.  Our Group company DELVIN FORMULATIONS PRIVATE LTD., & INVENTZ LIFE SCIENCE"
61,"M/s DELVIN FORMULATIONS PRIVATE LTD,NO. 51, TOWER C, TEK MEADOWS, SHOLINGANALLUR, CHENNAI - 600119centraltender@saimirra.com",V.KRISHNAN9444051850,Supplier,Sanitizer (Alcohol Based),2500000,200000,NIL
62,"M/s DELVIN FORMULATIONS PRIVATE LTD,NO. 51, TOWER C, TEK MEADOWS, SHOLINGANALLUR, CHENNAI - 600119centraltender@saimirra.com",V.KRISHNAN9444051850,Supplier,KN95 Masks / N95 Masks,500000,10000,NIL
63,"M/s DELVIN FORMULATIONS PRIVATE LTD,NO. 51, TOWER C, TEK MEADOWS, SHOLINGANALLUR, CHENNAI - 600119centraltender@saimirra.com",V.KRISHNAN9444051850,Supplier,3Ply Surgical Masks,20000000,50000,NIL
64,"M/s DELVIN FORMULATIONS PRIVATE LTD,NO. 51, TOWER C, TEK MEADOWS, SHOLINGANALLUR, CHENNAI - 600119centraltender@saimirra.com",V.KRISHNAN9444051850,Supplier,PPE KITS,500000,5000,NIL
65,"M/s Haridra Enterprises Pvt ltd,NO.62/34 BRINDAVAN STREET EXTN
WEST MAMBALAM
Chennaiinfo@haridraenterprises.com",R. Subramanian9940020316,Manufacturer,PPE KITS,200,2000,"CS 100 is a Corona Sanitizer based on Ultra Violet
Rays . It can be used to sanitize everyday items that
come in to your house from outside.Certified by DRDO"
66,"M/s alfa majestic enterprises,shop no 4,39 and 40,2nd main road,lakshmi nagar,valasaravakkam,chennai 600087smdssulaiman@gmail.com",mohamed sheik sulaiman9003130786,Supplier,3Ply Surgical Masks,100000,100000,
67,"M/s Commnet systems consultancy pvt ltd,5 pt rajan salai kknagar chennai 78presales@commnetsysconsult.com",Nagarajan9003576288,Supplier,Multipara Monitors,10,100,Need to go office to collect the material and give to Appollo office
68,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,PPE KITS,1000,10000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
69,"M/s DR M.G.R EDUCATIONAL AND RESEARCH INSTITUTE,MADURAVOYAL,CHENNAI-600095kamal.ari@drmgrdu.ac.in",Er.kamalahasan9003413525,Manufacturer,Multipara Monitors,5,20,
70,"M/s Tjfashions,No.1151, LIG II, TNHB colony, 4Th Avenue, Velachery chennai +600042truejeans.com@gmail.com",Vincent9840877759,Supplier,Pillows,5000,15000,"We have cloth reusable and washable filtering mask, we added  melt blown & spun bond filter in between the cloth mask, 1lakh pcs available"
71,"M/s Tjfashions,No.1151, LIG II, TNHB colony, 4Th Avenue, Velachery chennai +600042truejeans.com@gmail.com",Vincent9840877759,Supplier,KN95 Masks / N95 Masks,25000,10000,"We have cloth reusable and washable filtering mask, we added  melt blown & spun bond filter in between the cloth mask, 1lakh pcs available"
72,"M/s Tjfashions,No.1151, LIG II, TNHB colony, 4Th Avenue, Velachery chennai +600042truejeans.com@gmail.com",Vincent9840877759,Supplier,3Ply Surgical Masks,100000,100000,"We have cloth reusable and washable filtering mask, we added  melt blown & spun bond filter in between the cloth mask, 1lakh pcs available"
73,"M/s Tjfashions,No.1151, LIG II, TNHB colony, 4Th Avenue, Velachery chennai +600042truejeans.com@gmail.com",Vincent9840877759,Supplier,PPE KITS,50000,5000,"We have cloth reusable and washable filtering mask, we added  melt blown & spun bond filter in between the cloth mask, 1lakh pcs available"
74,"M/s SAI ENGINEERING TECHNOLOGY,Office Address: Plot no 137, Phase 1, Subramania bharathipuram, Polachery, Navalur, Chennai -600127.dhanakodi.rd@gmail.com , contact.sesha@gmail.com",DHANAKODI9841421540,Manufacturer,Multipara Monitors,15,50,Manufacturing UVC sterilizer
75,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,Pillows,250,2500,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
76,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,Hospital Matresses,500,5000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
77,"M/s THEDEEP ASSOCIATES,201 ELDAMS ROAD, TEYNAMPET, CHENNAI 600018thedeepassociates@gmail.com",S RAJAGOPAL9884091114,Supplier,Sanitizer (Alcohol Based),2000,15000,
78,"M/s THEDEEP ASSOCIATES,201 ELDAMS ROAD, TEYNAMPET, CHENNAI 600018thedeepassociates@gmail.com",S RAJAGOPAL9884091114,Supplier,KN95 Masks / N95 Masks,1500,5000,
79,"M/s THEDEEP ASSOCIATES,201 ELDAMS ROAD, TEYNAMPET, CHENNAI 600018thedeepassociates@gmail.com",S RAJAGOPAL9884091114,Supplier,3Ply Surgical Masks,10000,1000,
80,"M/s THEDEEP ASSOCIATES,201 ELDAMS ROAD, TEYNAMPET, CHENNAI 600018thedeepassociates@gmail.com",S RAJAGOPAL9884091114,Supplier,PPE KITS,1000,1000,
81,"M/s THEDEEP ASSOCIATES,201 ELDAMS ROAD, TEYNAMPET, CHENNAI 600018thedeepassociates@gmail.com",S RAJAGOPAL9884091114,Supplier,COVID TESTING KITS,1000,1000,
82,"M/s 8hours,No.32, Periyar Street,kannigapuram,avadi , chennai-54saagarbaid@gmail.com",SAAGAR BAID9790950665,Manufacturer,Pillows,200,1500,These are natural latex mattresses amd pillows
83,"M/s 8hours,No.32, Periyar Street,kannigapuram,avadi , chennai-54saagarbaid@gmail.com",SAAGAR BAID9790950665,Manufacturer,Hospital Matresses,25,150,These are natural latex mattresses amd pillows
84,"M/s 8hours,No.32, periyar street kannigapuram,avadi 
Chennai -600054saagarbaid@gmail.com",SAAGAR BAID9790950664,Manufacturer,Pillows,200,200,These are natural latex mattress and pillows
85,"M/s 8hours,No.32, periyar street kannigapuram,avadi 
Chennai -600054saagarbaid@gmail.com",SAAGAR BAID9790950664,Manufacturer,Hospital Matresses,25,100,These are natural latex mattress and pillows
86,"M/s Stancorp engineering and Products,15, Vivekandar street, Vivekandar Nagar, Ayyappakkam, Chennai -77stancorpengg@gmail.com",A. Arockia Jawahar9884699096,Supplier,3Ply Surgical Masks,2000,1000,
87,"M/s GREENRICH GROW INDIA PRIVATE LIMITED,Door.No.31 A, Chockanathan Nagar, IInd Street, Madhuravoyal, Chennai 600 095.gogreen@mygreenbin.in",Madhusudan K9500090679,Supplier,COVID TESTING KITS,1000,10000,All products are good quality & with all certification
88,"M/s GREENRICH GROW INDIA PRIVATE LIMITED,Door.No.31 A, Chockanathan Nagar, IInd Street, Madhuravoyal, Chennai 600 095.gogreen@mygreenbin.in",Madhusudan K9500090679,Supplier,VENTILATOR,1000,10000,All products are good quality & with all certification
89,"M/s GREENRICH GROW INDIA PRIVATE LIMITED,Door.No.31 A, Chockanathan Nagar, IInd Street, Madhuravoyal, Chennai 600 095.gogreen@mygreenbin.in",Madhusudan K9500090679,Supplier,PPE KITS,20000,70000,All products are good quality & with all certification
90,"M/s GREENRICH GROW INDIA PRIVATE LIMITED,Door.No.31 A, Chockanathan Nagar, IInd Street, Madhuravoyal, Chennai 600 095.gogreen@mygreenbin.in",Madhusudan K9500090679,Supplier,KN95 Masks / N95 Masks,500000,3000000,All products are good quality & with all certification
91,"M/s GREENRICH GROW INDIA PRIVATE LIMITED,Door.No.31 A, Chockanathan Nagar, IInd Street, Madhuravoyal, Chennai 600 095.gogreen@mygreenbin.in",Madhusudan K9500090679,Supplier,3Ply Surgical Masks,500000,3000000,All products are good quality & with all certification
92,"M/s Stancorp engineering and Products,15, Vivekandar street, Vivekandar Nagar, Ayyappakkam, Chennai -77stancorpengg@gmail.com",A. Arockia Jawahar9884699096,Supplier,PPE KITS,100,100,
93,"M/s SHABARI IMPEX,New no: 80/1, Old no: 114/2, GNT Road, (Moolakadai), Erukancherry, Chennai – 600 118shabariimpex@gmail.com",M Srinivasan9445947272,Manufacturer,PPE KITS,80000,50000,CARAPACE™ SAFETY GOGGLES IS 5983
94,"M/s Classic Enterprises,220/1, Ennore Express Road. Ondikuppam, Thiruvottiyur. Chennai. Tamil Nadu - 600019anurag@comfortpoint.net",Anurag Maheshwari9840026110,Manufacturer,Pillows,300,5000,
95,"M/s Classic Enterprises,220/1, Ennore Express Road. Ondikuppam, Thiruvottiyur. Chennai. Tamil Nadu - 600019anurag@comfortpoint.net",Anurag Maheshwari9840026110,Manufacturer,Hospital Matresses,0,300,
96,"M/s DEEPAK ELECTRICALS,18 MANGAPPAN STREET, 1 ST FLOOR, CHENNAI 600001sales@dcelectric.in",PRANAY CHORDIA7026255576,Manufacturer,Sanitizer (Alcohol Based),100000,5000,Supplying PPE KITS AND MANUFACTURING HAND SANITISER LIQUID.
97,"M/s DEEPAK ELECTRICALS,18 MANGAPPAN STREET, 1 ST FLOOR, CHENNAI 600001sales@dcelectric.in",PRANAY CHORDIA7026255576,Manufacturer,PPE KITS,100000,5000,Supplying PPE KITS AND MANUFACTURING HAND SANITISER LIQUID.
